"station_name","primary_line","train_min","transfers","arrival_station","arrival_walk_min","transit_walk_min","station_to_office_min","lines_used","route_summary","memo"
"八柱","","42","1","大手町(東京都)","1","11","54","京成松戸線,ＪＲ常磐線","八柱→松戸→大手町(東京都)","出口:E1(メトロスクエア)"
"北小金","ＪＲ常磐線","44","0","大手町(東京都)","1","4","49","ＪＲ常磐線","北小金→大手町(東京都)","出口:E1(メトロスクエア)"
"北柏","","53","0","大手町(東京都)","1","4","58","ＪＲ常磐線","北柏→大手町(東京都)","出口:E1(メトロスクエア)"
"北浦和","","31","1","東京","10","7","48","ＪＲ京浜東北・根岸線,ＪＲ宇都宮線(上野東京ライン)","北浦和→浦和→東京","出口:丸の内中央口"
"北習志野","","51","0","大手町(東京都)","1","9","61","東葉高速鉄道","北習志野→大手町(東京都)","出口:E1(メトロスクエア)"
"千葉中央","","44","1","東京","7","24","75","京成千葉線,ＪＲ総武線快速","千葉中央→京成千葉→千葉→東京","出口:1(丸ノ内線)"
"南与野","ＪＲ埼京線","40","2","大手町(東京都)","2","14","56","ＪＲ埼京線,ＪＲ埼京線通勤快速,東京メトロ丸ノ内線","南与野→武蔵浦和→池袋→大手町(東京都)","出口:A1"
"南柏","ＪＲ常磐線","47","0","大手町(東京都)","1","4","52","ＪＲ常磐線","南柏→大手町(東京都)","出口:E1(メトロスクエア)"
"南流山","つくばエクスプレス","35","1","大手町(東京都)","1","13","49","つくばエクスプレス区間快速,東京メトロ千代田線","南流山→北千住→大手町(東京都)","出口:E1(メトロスクエア)"
"南鳩ヶ谷","","33","1","大手町(東京都)","2","13","48","埼玉高速鉄道,東京メトロ丸ノ内線","南鳩ケ谷→後楽園→大手町(東京都)","出口:A1"
"反町","","32","1","東京","10","14","56","東急東横線,ＪＲ東海道本線(上野東京ライン)","反町→横浜→東京","出口:丸の内中央口"
"向ヶ丘遊園","","34","2","大手町(東京都)","1","6","41","小田急小田原線,小田急小田原線快速急行,東京メトロ千代田線","向ケ丘遊園→登戸→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"和光市","","34","1","大手町(東京都)","2","12","48","東京メトロ副都心線通勤急行,東京メトロ丸ノ内線","和光市→池袋→大手町(東京都)","出口:A1"
"土呂","","41","0","東京","10","3","54","ＪＲ宇都宮線(上野東京ライン)","土呂→東京","出口:丸の内中央口"
"堀切","","27","1","大手町(東京都)","1","7","35","東武スカイツリーライン区間急行,東武スカイツリーライン急行","堀切→曳舟→大手町(東京都)","出口:E1(メトロスクエア)"
"堀切菖蒲園","京成本線","25","1","大手町(東京都)","1","11","37","京成本線,東京メトロ千代田線","堀切菖蒲園→町屋(京成線)→町屋(東京メトロ)→大手町(東京都)","出口:E1(メトロスクエア)"
"塚田","東武野田線","32","1","東京","7","17","56","東武アーバンパークライン,ＪＲ総武線快速","塚田→船橋→東京","出口:1(丸ノ内線)"
"大口","","35","2","東京","10","11","56","ＪＲ横浜線,ＪＲ京浜東北・根岸線,ＪＲ東海道本線(上野東京ライン)","大口→東神奈川→川崎→東京","出口:丸の内中央口"
"大和田","","41","1","東京","10","11","62","東武アーバンパークライン,ＪＲ高崎線(上野東京ライン)","大和田(埼玉県)→大宮(埼玉県)→東京","出口:丸の内中央口"
"大泉学園","","37","2","大手町(東京都)","2","14","53","西武池袋線準急,東京メトロ副都心線通勤急行,東京メトロ丸ノ内線","大泉学園→小竹向原→池袋→大手町(東京都)","出口:A1"
"天王台","","46","1","大手町(東京都)","1","10","57","ＪＲ常磐線,東京メトロ千代田線","天王台→北千住→大手町(東京都)","出口:E1(メトロスクエア)"
"子安","京急本線","32","2","東京","10","19","61","京急本線,ＪＲ京浜東北・根岸線,ＪＲ東海道本線(上野東京ライン)","子安→京急新子安→新子安→川崎→東京","出口:丸の内中央口"
"宮前平","","50","0","大手町(東京都)","1","4","55","東急田園都市線","宮前平→大手町(東京都)","出口:E1(メトロスクエア)"
"小岩","","18","1","東京","7","14","39","ＪＲ総武線,ＪＲ総武線快速","小岩→新小岩→東京","出口:1(丸ノ内線)"
"小金城趾","","46","1","大手町(東京都)","1","9","56","流鉄流山線,ＪＲ常磐線","小金城趾→馬橋→大手町(東京都)","出口:E1(メトロスクエア)"
"幕張","","38","2","大手町(東京都)","1","19","58","ＪＲ総武線,ＪＲ総武線快速,東京メトロ丸ノ内線","幕張→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"幸谷","","42","0","大手町(東京都)","1","10","53","ＪＲ常磐線","幸谷→新松戸→大手町(東京都)","出口:E1(メトロスクエア)"
"志木","東武東上線","44","1","大手町(東京都)","2","11","57","東武東上線急行,東京メトロ丸ノ内線","志木→池袋→大手町(東京都)","出口:A1"
"我孫子","ＪＲ常磐線","41","0","東京","10","3","54","ＪＲ常磐線(上野東京ライン)快速","我孫子→東京","出口:丸の内中央口"
"戸塚安行","埼玉高速鉄道","41","1","大手町(東京都)","2","13","56","埼玉高速鉄道,東京メトロ丸ノ内線","戸塚安行→後楽園→大手町(東京都)","出口:A1"
"戸田公園","","26","1","東京","10","9","45","ＪＲ埼京線(相鉄線直通),ＪＲ宇都宮線(上野東京ライン)","戸田公園→赤羽→東京","出口:丸の内中央口"
"新井宿","","38","1","大手町(東京都)","2","13","53","埼玉高速鉄道,東京メトロ丸ノ内線","新井宿→後楽園→大手町(東京都)","出口:A1"
"新子安","","29","1","東京","10","8","47","ＪＲ京浜東北・根岸線,ＪＲ東海道本線(上野東京ライン)","新子安→川崎→東京","出口:丸の内中央口"
"新松戸","","42","0","大手町(東京都)","1","4","47","ＪＲ常磐線","新松戸→大手町(東京都)","出口:E1(メトロスクエア)"
"新柏","","40","1","東京","10","11","61","東武アーバンパークライン,ＪＲ常磐線(上野東京ライン)快速","新柏→柏→東京","出口:丸の内中央口"
"新検見川","ＪＲ総武線","41","2","大手町(東京都)","1","19","61","ＪＲ総武線,ＪＲ総武線快速,東京メトロ丸ノ内線","新検見川→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"新田","東武伊勢崎線","36","2","大手町(東京都)","1","13","50","東武スカイツリーライン,東武スカイツリーライン区間急行,東京メトロ千代田線","新田(埼玉県)→草加→北千住→大手町(東京都)","出口:E1(メトロスクエア)"
"新船橋","","29","1","東京","7","17","53","東武アーバンパークライン,ＪＲ総武線快速","新船橋→船橋→東京","出口:1(丸ノ内線)"
"朝霞","東武東上線","37","1","大手町(東京都)","2","11","50","東武東上線急行,東京メトロ丸ノ内線","朝霞→池袋→大手町(東京都)","出口:A1"
"朝霞台","","41","1","大手町(東京都)","2","11","54","東武東上線急行,東京メトロ丸ノ内線","朝霞台→池袋→大手町(東京都)","出口:A1"
"本八幡","","24","2","大手町(東京都)","1","16","41","ＪＲ総武線,ＪＲ総武線快速,東京メトロ丸ノ内線","本八幡(総武線)→市川→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"本千葉","ＪＲ内房線","48","0","東京","7","8","63","ＪＲ内房線快速","本千葉→東京","出口:1(丸ノ内線)"
"村上","","61","0","大手町(東京都)","1","9","71","東葉高速鉄道","村上(千葉県)→大手町(東京都)","出口:E1(メトロスクエア)"
"東伏見","西武新宿線","34","1","大手町(東京都)","1","17","52","西武新宿線準急,東京メトロ東西線","東伏見→高田馬場→大手町(東京都)","出口:E1(メトロスクエア)"
"東大宮","ＪＲ宇都宮線","44","0","東京","10","3","57","ＪＲ宇都宮線(上野東京ライン)","東大宮→東京","出口:丸の内中央口"
"東川口","","44","1","大手町(東京都)","2","13","59","埼玉高速鉄道,東京メトロ丸ノ内線","東川口→後楽園→大手町(東京都)","出口:A1"
"東海神","","44","0","大手町(東京都)","1","9","54","東葉高速鉄道","東海神→大手町(東京都)","出口:E1(メトロスクエア)"
"東葉勝田台","東葉高速鉄道","63","0","大手町(東京都)","1","9","73","東葉高速鉄道","東葉勝田台→大手町(東京都)","出口:E1(メトロスクエア)"
"松戸","","35","0","大手町(東京都)","1","4","40","ＪＲ常磐線","松戸→大手町(東京都)","出口:E1(メトロスクエア)"
"松戸新田","京成松戸線","39","1","大手町(東京都)","1","11","51","京成松戸線,ＪＲ常磐線","松戸新田→松戸→大手町(東京都)","出口:E1(メトロスクエア)"
"柏","","36","0","東京","10","3","49","ＪＲ常磐線(上野東京ライン)快速","柏→東京","出口:丸の内中央口"
"柳瀬川","","49","1","大手町(東京都)","2","12","63","東武東上線,東京メトロ副都心線通勤急行,東京メトロ丸ノ内線","柳瀬川→池袋→大手町(東京都)","出口:A1"
"柴又","京成金町線","33","1","大手町(東京都)","1","12","46","京成金町線,ＪＲ常磐線","柴又→京成金町→金町(東京都)→大手町(東京都)","出口:E1(メトロスクエア)"
"栗平","","48","1","大手町(東京都)","1","5","54","小田急多摩線通勤急行,東京メトロ千代田線","栗平→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"検見川","","40","3","大手町(東京都)","1","26","67","京成千葉線,ＪＲ総武線,ＪＲ総武線快速,東京メトロ丸ノ内線","検見川→京成幕張本郷→幕張本郷→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"横浜","","30","0","東京","10","4","44","ＪＲ東海道本線(上野東京ライン)","横浜→東京","出口:丸の内中央口"
"武蔵関","","32","1","大手町(東京都)","1","17","50","西武新宿線準急,東京メトロ東西線","武蔵関→高田馬場→大手町(東京都)","出口:E1(メトロスクエア)"
"江戸川","","32","2","大手町(東京都)","1","15","48","京成本線,京成本線特急,東京メトロ半蔵門線","江戸川→京成高砂→押上→大手町(東京都)","出口:E1(メトロスクエア)"
"浦和","","27","0","東京","10","3","40","ＪＲ宇都宮線(上野東京ライン)","浦和→東京","出口:丸の内中央口"
"滝不動","京成松戸線","45","2","大手町(東京都)","1","24","70","京成松戸線,ＪＲ総武線快速,東京メトロ丸ノ内線","滝不動→新津田沼→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"獨協大学前","","33","2","大手町(東京都)","1","13","47","東武スカイツリーライン,東武スカイツリーライン区間急行,東京メトロ千代田線","獨協大学前→草加→北千住→大手町(東京都)","出口:E1(メトロスクエア)"
"田奈","","58","1","大手町(東京都)","1","7","66","東急田園都市線,東急田園都市線準急","田奈→青葉台→大手町(東京都)","出口:E1(メトロスクエア)"
"登戸","小田急線","33","1","大手町(東京都)","1","5","39","小田急小田原線快速急行,東京メトロ千代田線","登戸→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"矢野口","ＪＲ南武線","40","2","大手町(東京都)","1","13","54","ＪＲ南武線,小田急小田原線快速急行,東京メトロ千代田線","矢野口→登戸→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
"稲毛","ＪＲ総武線快速","39","0","東京","7","8","54","ＪＲ総武線快速","稲毛→東京","出口:1(丸ノ内線)"
"船橋日大前","東葉高速鉄道","54","0","大手町(東京都)","1","9","64","東葉高速鉄道","船橋日大前→大手町(東京都)","出口:E1(メトロスクエア)"
"船橋法典","ＪＲ武蔵野線","35","1","大手町(東京都)","1","20","56","ＪＲ武蔵野線,東京メトロ丸ノ内線","船橋法典→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"若葉台","","60","2","大手町(東京都)","1","10","71","京王相模原線区間急行,京王新線,東京メトロ半蔵門線準急","若葉台→笹塚→九段下→大手町(東京都)","出口:E1(メトロスクエア)"
"蒲生","","38","2","大手町(東京都)","1","13","52","東武スカイツリーライン,東武スカイツリーライン区間急行,東京メトロ千代田線","蒲生→草加→北千住→大手町(東京都)","出口:E1(メトロスクエア)"
"蕨","ＪＲ京浜東北線","36","1","大手町(東京���)","1","10","47","ＪＲ京浜東北・根岸線,東京メトロ千代田線","蕨→西日暮里→大手町(東京���)","出口:E1(メトロスクエア)"
"薬園台","","37","2","大手町(東京都)","1","24","62","京成松戸線,ＪＲ総武線快速,東京メトロ丸ノ内線","薬園台→新津田沼→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"藤が丘","","60","1","大手町(東京都)","1","7","68","東急田園都市線,東急田園都市線準急","藤が丘(神奈川県)→あざみ野→大手町(東京都)","出口:E1(メトロスクエア)"
"蘇我","","52","1","大手町(東京都)","1","12","65","ＪＲ内房線快速,東京メトロ丸ノ内線","蘇我→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"西川口","","33","1","大手町(東京都)","1","10","44","ＪＲ京浜東北・根岸線,東京メトロ千代田線","西川口→西日暮里→大手町(東京都)","出口:E1(メトロスクエア)"
"西武柳沢","","36","1","大手町(東京都)","1","17","54","西武新宿線準急,東京メトロ東西線","西武柳沢→高田馬場→大手町(東京都)","出口:E1(メトロスクエア)"
"金町","","31","0","大手町(東京都)","1","4","36","ＪＲ常磐線","金町(東京都)→大手町(東京都)",""
"青葉台","東急田園都市線","56","0","大手町(東京都)","1","4","61","東急田園都市線準急","青葉台→大手町(東京都)","出口:E1(メトロスクエア)"
"飯山満","東葉高速鉄道","48","0","大手町(東京都)","1","9","58","東葉高速鉄道","飯山満→大手町(東京都)","出口:E1(メトロスクエア)"
"高根公団","","43","2","大手町(東京都)","1","24","68","京成松戸線,ＪＲ総武線快速,東京メトロ丸ノ内線","高根公団→新津田沼→津田沼→東京→大手町(東京都)","出口:E1(メトロスクエア)"
"鬼越","京成本線","37","2","大手町(東京都)","1","15","53","京成本線,京成本線快速特急,東京メトロ半蔵門線","鬼越→京成八幡→押上→大手町(東京都)","出口:E1(メトロスクエア)"
"鰭ヶ崎","","48","1","大手町(東京都)","1","9","58","流鉄流山線,ＪＲ常磐線","鰭ケ崎→馬橋→大手町(東京都)","出口:E1(メトロスクエア)"
"鳩ヶ谷","埼玉高速鉄道","35","1","大手町(東京都)","2","13","50","埼玉高速鉄道,東京メトロ丸ノ内線","鳩ケ谷→後楽園→大手町(東京都)","出口:A1"
"鷺沼","東急田園都市線","46","0","大手町(東京都)","1","4","51","東急田園都市線準急","鷺沼→大手町(東京都)","出口:E1(メトロスクエア)"
"黒川","","49","2","大手町(東京都)","1","8","58","小田急多摩線,小田急多摩線通勤急行,東京メトロ千代田線","黒川(神奈川県)→栗平→代々木上原→大手町(東京都)","出口:E1(メトロスクエア)"
